"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"6214025" "Steward (airlines)" "6214025" "Steward (airlines)"
"6214026" "Steward, air" "6214026" "Steward, air"
"6214027" "Steward, aircraft" "6214027" "Steward, aircraft"
"6214028" "Steward, airline" "6214028" "Steward, airline"
"6214029" "Steward, cabin (airlines)" "6214029" "Steward, cabin (airlines)"
"6214030" "Steward, chief (airlines)" "6214030" "Steward, chief (airlines)"
"6214031" "Steward, flight" "6214031" "Steward, flight"
"6214032" "Steward, ground" "6214032" "Steward, ground"
"6214033" "Steward, officer's" "6214033" "Steward, officer's"
"6214034" "Superintendent, station (airline)" "6214034" "Superintendent, station (airline)"
"6215" "Rail travel assistants" "6215" "Rail travel assistants"
"6215001" "Assistant, passenger (railways)" "6215001" "Assistant, passenger (railways)"
"6215002" "Assistant, station (underground railway)" "6215002" "Assistant, station (underground railway)"
"6215003" "Assistant, travel (railways)" "6215003" "Assistant, travel (railways)"
"6215004" "Attendant, car, sleeping" "6215004" "Attendant, car, sleeping"
"6215005" "Attendant, carriage (railways)" "6215005" "Attendant, carriage (railways)"
"6215006" "Attendant, train" "6215006" "Attendant, train"
"6215007" "Boy, call (railways)" "6215007" "Boy, call (railways)"
"6215008" "Captain (railways)" "6215008" "Captain (railways)"
"6215009" "Collector, luggage, excess" "6215009" "Collector, luggage, excess"
"6215010" "Collector, ticket (railways)" "6215010" "Collector, ticket (railways)"
"6215011" "Conductor (railways)" "6215011" "Conductor (railways)"
"6215012" "Crew, train" "6215012" "Crew, train"
"6215013" "Examiner, ticket (railways)" "6215013" "Examiner, ticket (railways)"
"6215014" "Foreman, platform (railways)" "6215014" "Foreman, platform (railways)"
"6215015" "Foreman, station (railways)" "6215015" "Foreman, station (railways)"
"6215016" "Guard (railways)" "6215016" "Guard (railways)"
"6215017" "Guard, commercial (railways)" "6215017" "Guard, commercial (railways)"
"6215018" "Guard, passenger" "6215018" "Guard, passenger"
"6215019" "Guard, railway" "6215019" "Guard, railway"
"6215020" "Guard, train" "6215020" "Guard, train"
"6215021" "Inspector, platform (railways)" "6215021" "Inspector, platform (railways)"
"6215022" "Inspector, station (railways)" "6215022" "Inspector, station (railways)"
"6215023" "Inspector, ticket (railways)" "6215023" "Inspector, ticket (railways)"
"6215024" "Manager, train" "6215024" "Manager, train"
"6215025" "Officer, protection, revenue (railways)" "6215025" "Officer, protection, revenue (railways)"
"6215026" "Porter (transport: railways)" "6215026" "Porter (transport: railways)"
"6215027" "Porter, goods (railways)" "6215027" "Porter, goods (railways)"
"6215028" "Porter, mail" "6215028" "Porter, mail"
"6215029" "Porter, parcel (railways)" "6215029" "Porter, parcel (railways)"
"6215030" "Porter, parcels (railways)" "6215030" "Porter, parcels (railways)"
"6215031" "Porter-guard" "6215031" "Porter-guard"
"6215032" "Porter-signalman" "6215032" "Porter-signalman"
"6215033" "Purser (railways)" "6215033" "Purser (railways)"
"6215034" "Stationman, railway" "6215034" "Stationman, railway"
"6215035" "Supervisor, station" "6215035" "Supervisor, station"
"6219" "Leisure and travel service occupations n.e.c." "6219" "Leisure and travel service occupations n.e.c."
"6219001" "Assistant, steward's" "6219001" "Assistant, steward's"
"6219002" "Assistant, theatre (entertainment)" "6219002" "Assistant, theatre (entertainment)"
"6219003" "Attendant, bus, school" "6219003" "Attendant, bus, school"
"6219004" "Boy, cabin (shipping)" "6219004" "Boy, cabin (shipping)"
"6219005" "Conductor (road transport)" "6219005" "Conductor (road transport)"
"6219006" "Conductor, PSV" "6219006" "Conductor, PSV"
"6219007" "Conductor, bus" "6219007" "Conductor, bus"
"6219008" "Guard (road passenger transport)" "6219008" "Guard (road passenger transport)"
"6219009" "Guard, bus" "6219009" "Guard, bus"
"6219010" "Officer, catering (shipping)" "6219010" "Officer, catering (shipping)"
"6219011" "Officer, passenger (hovercraft)" "6219011" "Officer, passenger (hovercraft)"
"6219012" "Purser" "6219012" "Purser"
"6219013" "Purser (government)" "6219013" "Purser (government)"
"6219014" "Purserette (hovercraft)" "6219014" "Purserette (hovercraft)"
"6219015" "Steward" "6219015" "Steward"
"6219016" "Steward (shipping)" "6219016" "Steward (shipping)"
"6219017" "Steward, cabin (shipping)" "6219017" "Steward, cabin (shipping)"
"6219018" "Steward, chief (shipping)" "6219018" "Steward, chief (shipping)"
"6219019" "Steward, saloon (shipping)" "6219019" "Steward, saloon (shipping)"
"622" "Hairdressers And Related Occupations" "622" "Hairdressers And Related Occupations"
"6221" "Hairdressers, barbers" "6221" "Hairdressers, barbers"
"6221001" "Assistant, general (hairdressing)" "6221001" "Assistant, general (hairdressing)"
"6221002" "Assistant, hairdresser's" "6221002" "Assistant, hairdresser's"
"6221003" "Assistant, hairdressing" "6221003" "Assistant, hairdressing"
"6221004" "Assistant, salon (hairdressing)" "6221004" "Assistant, salon (hairdressing)"
"6221005" "Barber" "6221005" "Barber"
"6221006" "Controller, salon (hairdressing)" "6221006" "Controller, salon (hairdressing)"
"6221007" "Dresser, hair (hairdressing)" "6221007" "Dresser, hair (hairdressing)"
"6221008" "Hairdresser" "6221008" "Hairdresser"
"6221009" "Shampooer" "6221009" "Shampooer"
"6221010" "Shampooist" "6221010" "Shampooist"
"6221011" "Stylist (hairdressing)" "6221011" "Stylist (hairdressing)"
"6221012" "Stylist, hair" "6221012" "Stylist, hair"
"6222" "Beauticians and related occupations" "6222" "Beauticians and related occupations"
"6222001" "Adviser, beauty" "6222001" "Adviser, beauty"
"6222002" "Analyst, colour" "6222002" "Analyst, colour"
"6222003" "Artist, make-up (films)" "6222003" "Artist, make-up (films)"
"6222004" "Astrologer" "6222004" "Astrologer"
"6222005" "Beautician" "6222005" "Beautician"
"6222006" "Clairvoyant" "6222006" "Clairvoyant"
"6222007" "Consultant, beauty" "6222007" "Consultant, beauty"
"6222008" "Consultant, image" "6222008" "Consultant, image"
"6222009" "Consultant, piercing, ear" "6222009" "Consultant, piercing, ear"
"6222010" "Consultant, slimming" "6222010" "Consultant, slimming"
"6222011" "Consultant, wig" "6222011" "Consultant, wig"
"6222012" "Cosmetologist" "6222012" "Cosmetologist"
"6222013" "Diviner, water" "6222013" "Diviner, water"
"6222014" "Dresser, wig" "6222014" "Dresser, wig"
"6222015" "Electrologist" "6222015" "Electrologist"
"6222016" "Electrolysist" "6222016" "Electrolysist"
"6222017" "Graphologist" "6222017" "Graphologist"
"6222018" "Maker, mask (beautician)" "6222018" "Maker, mask (beautician)"
"6222019" "Manicurist" "6222019" "Manicurist"
"6222020" "Medium" "6222020" "Medium"
"6222021" "Palmist" "6222021" "Palmist"
"6222022" "Pedicurist" "6222022" "Pedicurist"
"6222023" "Phrenologist" "6222023" "Phrenologist"
"6222024" "Piercer, body" "6222024" "Piercer, body"
"6222025" "Practitioner, sugaring" "6222025" "Practitioner, sugaring"
"6222026" "Psychologist, astrological" "6222026" "Psychologist, astrological"
"6222027" "Specialist, beauty" "6222027" "Specialist, beauty"
"6222028" "Tattooist" "6222028" "Tattooist"
"6222029" "Technician, nail" "6222029" "Technician, nail"
"6222030" "Teller, fortune" "6222030" "Teller, fortune"
"6222031" "Therapist, beauty" "6222031" "Therapist, beauty"
"623" "Housekeeping Occupations" "623" "Housekeeping Occupations"
"6231" "Housekeepers and related occupations" "6231" "Housekeepers and related occupations"
"6231001" "Attendant (domestic service)" "6231001" "Attendant (domestic service)"
"6231002" "Batman (civilian)" "6231002" "Batman (civilian)"
"6231003" "Butler" "6231003" "Butler"
"6231004" "Companion" "6231004" "Companion"
"6231005" "Companion-help" "6231005" "Companion-help"
"6231006" "Companion-housekeeper" "6231006" "Companion-housekeeper"
"6231007" "Cook-housekeeper" "6231007" "Cook-housekeeper"
"6231008" "Deputy (lodging house)" "6231008" "Deputy (lodging house)"
"6231009" "Footman (domestic service)" "6231009" "Footman (domestic service)"
"6231010" "Keeper, house" "6231010" "Keeper, house"
"6231011" "Keeper, house (communal establishment)" "6231011" "Keeper, house (communal establishment)"
"6231012" "Keeper, house (hospital service)" "6231012" "Keeper, house (hospital service)"
"6231013" "Keeper, house (hotel)" "6231013" "Keeper, house (hotel)"
"6231014" "Keeper, house (schools)" "6231014" "Keeper, house (schools)"
"6231015" "Keeper, house, daily" "6231015" "Keeper, house, daily"
"6231016" "Keeper, house, head" "6231016" "Keeper, house, head"
"6231017" "Keeper-companion, house" "6231017" "Keeper-companion, house"
"6231018" "Maid, lady's" "6231018" "Maid, lady's"
"6231019" "Orderly, civilian" "6231019" "Orderly, civilian"
"6231020" "Sister, housekeeping (hospital)" "6231020" "Sister, housekeeping (hospital)"
"6231021" "Steward (university)" "6231021" "Steward (university)"
"6231022" "Superintendent (domestic services)" "6231022" "Superintendent (domestic services)"
"6231023" "Supervisor, domestic" "6231023" "Supervisor, domestic"
"6231024" "Supervisor, room, linen (hospital service)" "6231024" "Supervisor, room, linen (hospital service)"
"6231025" "Valet" "6231025" "Valet"
"6232" "Caretakers" "6232" "Caretakers"
"6232001" "Assistant, caretaker's" "6232001" "Assistant, caretaker's"
"6232002" "Assistant, keeper's, hall (local government)" "6232002" "Assistant, keeper's, hall (local government)"
"6232003" "Assistant, keeper's, school" "6232003" "Assistant, keeper's, school"
"6232004" "Attendant, hall, town" "6232004" "Attendant, hall, town"
"6232005" "Attendant, synagogue" "6232005" "Attendant, synagogue"
"6232006" "Caretaker" "6232006" "Caretaker"
"6232007" "Concierge" "6232007" "Concierge"
"6232008" "Custodian, castle" "6232008" "Custodian, castle"
"6232009" "Janitor" "6232009" "Janitor"
"6232010" "Keeper, cemetery" "6232010" "Keeper, cemetery"
"6232011" "Keeper, chapel" "6232011" "Keeper, chapel"
"6232012" "Keeper, church" "6232012" "Keeper, church"
"6232013" "Keeper, court" "6232013" "Keeper, court"
"6232014" "Keeper, door (synagogue)" "6232014" "Keeper, door (synagogue)"
"6232015" "Keeper, ground, burial" "6232015" "Keeper, ground, burial"
"6232016" "Keeper, hall" "6232016" "Keeper, hall"
"6232017" "Keeper, house (offices)" "6232017" "Keeper, house (offices)"
"6232018" "Keeper, house (property management)" "6232018" "Keeper, house (property management)"
"6232019" "Keeper, house, resident (offices)" "6232019" "Keeper, house, resident (offices)"
"6232020" "Keeper, mortuary" "6232020" "Keeper, mortuary"
"6232021" "Keeper, office" "6232021" "Keeper, office"
"6232022" "Keeper, school" "6232022" "Keeper, school"
"6232023" "Manager, site (educational establishment)" "6232023" "Manager, site (educational establishment)"
"6232024" "Officer, premises" "6232024" "Officer, premises"
"6232025" "Officer, services, site (educational establishments)" "6232025" "Officer, services, site (educational establishments)"
"6232026" "Officer, site (educational establishments)" "6232026" "Officer, site (educational establishments)"
"6232027" "Porter (college)" "6232027" "Porter (college)"
"6232028" "Porter (schools)" "6232028" "Porter (schools)"
"6232029" "Porter-caretaker" "6232029" "Porter-caretaker"
"6232030" "Sacristan" "6232030" "Sacristan"
"6232031" "Sexton" "6232031" "Sexton"
"6232032" "Superintendent (residential buildings)" "6232032" "Superintendent (residential buildings)"
"6232033" "Superintendent, building" "6232033" "Superintendent, building"
"6232034" "Superintendent, hall, town" "6232034" "Superintendent, hall, town"
"6232035" "Superintendent, house, nos" "6232035" "Superintendent, house, nos"
"6232036" "Superintendent, precinct" "6232036" "Superintendent, precinct"
"6232037" "Superintendent, school" "6232037" "Superintendent, school"
"6232038" "Supervisor, site (educational establishments)" "6232038" "Supervisor, site (educational establishments)"
"6232039" "Taker, care (cemetery)" "6232039" "Taker, care (cemetery)"
"6232040" "Taker, care" "6232040" "Taker, care"
"6232041" "Verger" "6232041" "Verger"
"6232042" "Warden (caravan site)" "6232042" "Warden (caravan site)"
"6232043" "Warden (government)" "6232043" "Warden (government)"
"6232044" "Warden, barrack" "6232044" "Warden, barrack"
"6232045" "Warden, camp" "6232045" "Warden, camp"
"6232046" "Warden, castle" "6232046" "Warden, castle"
"6232047" "Warden, station" "6232047" "Warden, station"
"629" "Personal Services Occupations n.e.c." "629" "Personal Services Occupations n.e.c."
"6291" "Undertakers and mortuary assistants" "6291" "Undertakers and mortuary assistants"
"6291001" "Arranger, funeral" "6291001" "Arranger, funeral"
"6291002" "Assistant, crematorium" "6291002" "Assistant, crematorium"
"6291003" "Assistant, director's, funeral" "6291003" "Assistant, director's, funeral"
"6291004" "Assistant, funeral" "6291004" "Assistant, funeral"
"6291005" "Assistant, mortuary" "6291005" "Assistant, mortuary"
"6291006" "Assistant, undertaker's" "6291006" "Assistant, undertaker's"
"6291007" "Attendant, cemetery" "6291007" "Attendant, cemetery"
"6291008" "Attendant, crematorium" "6291008" "Attendant, crematorium"
"6291009" "Attendant, furnace, crematorium" "6291009" "Attendant, furnace, crematorium"
"6291010" "Attendant, mortuary" "6291010" "Attendant, mortuary"
"6291011" "Bearer (funeral directors)" "6291011" "Bearer (funeral directors)"
"6291012" "Director, funeral" "6291012" "Director, funeral"
"6291013" "Embalmer" "6291013" "Embalmer"
"6291014" "Foreman (cemetery, crematorium)" "6291014" "Foreman (cemetery, crematorium)"
"6291015" "Furnaceman (crematorium)" "6291015" "Furnaceman (crematorium)"
"6291016" "Mortician" "6291016" "Mortician"
"6291017" "Operator, crematorium" "6291017" "Operator, crematorium"
"6291018" "Superintendent (cemetery, crematorium)" "6291018" "Superintendent (cemetery, crematorium)"
"6291019" "Superintendent, assistant (cemetery, crematorium)" "6291019" "Superintendent, assistant (cemetery, crematorium)"
"6291020" "Taxidermist" "6291020" "Taxidermist"
"6291021" "Technician, mortuary" "6291021" "Technician, mortuary"
"6291022" "Undertaker" "6291022" "Undertaker"
"6291023" "Worker, cemetery" "6291023" "Worker, cemetery"
"6292" "Pest control officers" "6292" "Pest control officers"
"6292001" "Catcher, mole" "6292001" "Catcher, mole"
"6292002" "Catcher, rat" "6292002" "Catcher, rat"
"6292003" "Controller, pest" "6292003" "Controller, pest"
"6292004" "Destroyer (pest)" "6292004" "Destroyer (pest)"
"6292005" "Disinfector" "6292005" "Disinfector"
"6292006" "Exterminator (pest)" "6292006" "Exterminator (pest)"
"6292007" "Fumigator" "6292007" "Fumigator"
"6292008" "Inspector, control, pest" "6292008" "Inspector, control, pest"
"6292009" "Inspector, infestation" "6292009" "Inspector, infestation"
"6292010" "Inspector, rodent" "6292010" "Inspector, rodent"
"6292011" "Officer, control, pest" "6292011" "Officer, control, pest"
"6292012" "Officer, control, rodent" "6292012" "Officer, control, rodent"
"6292013" "Officer, disinfecting" "6292013" "Officer, disinfecting"
"6292014" "Officer, pest" "6292014" "Officer, pest"
"6292015" "Officer, rodent" "6292015" "Officer, rodent"
"6292016" "Operative, rodent" "6292016" "Operative, rodent"
"6292017" "Operator, beetle, colorado" "6292017" "Operator, beetle, colorado"
"6292018" "Operator, control, pest" "6292018" "Operator, control, pest"
"6292019" "Operator, rodent" "6292019" "Operator, rodent"
"6292020" "Specialist, woodworm" "6292020" "Specialist, woodworm"
"6292021" "Sprayer (wood preservation service)" "6292021" "Sprayer (wood preservation service)"
"6292022" "Surveyor (pest control)" "6292022" "Surveyor (pest control)"
"6292023" "Surveyor, control, pest" "6292023" "Surveyor, control, pest"
"6292024" "Surveyor, infestation, timber" "6292024" "Surveyor, infestation, timber"
"6292025" "Technician, control, pest" "6292025" "Technician, control, pest"
"6292026" "Technician, service, prevention, pest" "6292026" "Technician, service, prevention, pest"
"7" "Sales and Customer Service Occupations" "7" "Sales and Customer Service Occupations"
"71" "Sales Occupations" "71" "Sales Occupations"
"711" "Sales Assistants And Retail Cashiers" "711" "Sales Assistants And Retail Cashiers"
"7111" "Sales and retail assistants" "7111" "Sales and retail assistants"
"7111001" "Adviser, customer (retail trade)" "7111001" "Adviser, customer (retail trade)"
"7111002" "Adviser, optical" "7111002" "Adviser, optical"
"7111003" "Adviser, parts (retail trade)" "7111003" "Adviser, parts (retail trade)"
"7111004" "Adviser, sales" "7111004" "Adviser, sales"
"7111005" "Agent, cleaner's, dry" "7111005" "Agent, cleaner's, dry"
"7111006" "Agent, dyer's" "7111006" "Agent, dyer's"
"7111007" "Agent, laundry" "7111007" "Agent, laundry"
"7111008" "Agent, receiving, laundry" "7111008" "Agent, receiving, laundry"
"7111009" "Assistant (retail trade)" "7111009" "Assistant (retail trade)"
"7111010" "Assistant (take-away food shop)" "7111010" "Assistant (take-away food shop)"
"7111011" "Assistant, NAAFI" "7111011" "Assistant, NAAFI"
"7111012" "Assistant, bookseller's" "7111012" "Assistant, bookseller's"
"7111013" "Assistant, bookstall" "7111013" "Assistant, bookstall"
"7111014" "Assistant, care, health (retail chemist)" "7111014" "Assistant, care, health (retail chemist)"
"7111015" "Assistant, centre, service" "7111015" "Assistant, centre, service"
"7111016" "Assistant, chemist's (retail trade)" "7111016" "Assistant, chemist's (retail trade)"
"7111017" "Assistant, confectioner and tobacconist's" "7111017" "Assistant, confectioner and tobacconist's"
"7111018" "Assistant, confectioner's" "7111018" "Assistant, confectioner's"
"7111019" "Assistant, counter" "7111019" "Assistant, counter"
"7111020" "Assistant, counter (take-away food shop)" "7111020" "Assistant, counter (take-away food shop)"
"7111021" "Assistant, dairy (retail trade)" "7111021" "Assistant, dairy (retail trade)"
"7111022" "Assistant, dairyman's (retail trade)" "7111022" "Assistant, dairyman's (retail trade)"
"7111023" "Assistant, dealer's" "7111023" "Assistant, dealer's"
"7111024" "Assistant, delicatessen" "7111024" "Assistant, delicatessen"
"7111025" "Assistant, draper's" "7111025" "Assistant, draper's"
"7111026" "Assistant, floor, shop (retail trade)" "7111026" "Assistant, floor, shop (retail trade)"
"7111027" "Assistant, florist's" "7111027" "Assistant, florist's"
"7111028" "Assistant, fruiterer's" "7111028" "Assistant, fruiterer's"
"7111029" "Assistant, furrier's" "7111029" "Assistant, furrier's"
"7111030" "Assistant, grocer's" "7111030" "Assistant, grocer's"
"7111031" "Assistant, haberdashery" "7111031" "Assistant, haberdashery"
"7111032" "Assistant, jeweller's" "7111032" "Assistant, jeweller's"
"7111033" "Assistant, kiosk (retail trade)" "7111033" "Assistant, kiosk (retail trade)"
"7111034" "Assistant, mercer's" "7111034" "Assistant, mercer's"
"7111035" "Assistant, merchant's" "7111035" "Assistant, merchant's"
"7111036" "Assistant, newsagent's" "7111036" "Assistant, newsagent's"
"7111037" "Assistant, off-licence" "7111037" "Assistant, off-licence"
"7111038" "Assistant, office, post (sub-post office)" "7111038" "Assistant, office, post (sub-post office)"
"7111039" "Assistant, office, receiving" "7111039" "Assistant, office, receiving"
"7111040" "Assistant, office, sub-post" "7111040" "Assistant, office, sub-post"
"7111041" "Assistant, optical" "7111041" "Assistant, optical"
"7111042" "Assistant, optician's" "7111042" "Assistant, optician's"
"7111043" "Assistant, parts" "7111043" "Assistant, parts"
"7111044" "Assistant, pawnbroker's" "7111044" "Assistant, pawnbroker's"
"7111045" "Assistant, perfumer's" "7111045" "Assistant, perfumer's"
"7111046" "Assistant, pharmaceutical (retail chemists)" "7111046" "Assistant, pharmaceutical (retail chemists)"
"7111047" "Assistant, pharmacy" "7111047" "Assistant, pharmacy"
"7111048" "Assistant, poulterer's" "7111048" "Assistant, poulterer's"
"7111049" "Assistant, provision" "7111049" "Assistant, provision"
"7111050" "Assistant, retail" "7111050" "Assistant, retail"
"7111051" "Assistant, room, sale (wholesale, retail trade)" "7111051" "Assistant, room, sale (wholesale, retail trade)"
"7111052" "Assistant, room, show" "7111052" "Assistant, room, show"
"7111053" "Assistant, sales" "7111053" "Assistant, sales"
"7111054" "Assistant, seedsman's" "7111054" "Assistant, seedsman's"
"7111055" "Assistant, senior (retail trade)" "7111055" "Assistant, senior (retail trade)"
"7111056" "Assistant, shop" "7111056" "Assistant, shop"
"7111057" "Assistant, shop (take-away food shop)" "7111057" "Assistant, shop (take-away food shop)"
"7111058" "Assistant, stall, book" "7111058" "Assistant, stall, book"
"7111059" "Assistant, stationer's" "7111059" "Assistant, stationer's"
"7111060" "Assistant, stores (retail trade)" "7111060" "Assistant, stores (retail trade)"
"7111061" "Associate, retail" "7111061" "Associate, retail"
"7111062" "Associate, sales (retail trade)" "7111062" "Associate, sales (retail trade)"
"7111063" "Attendant, kiosk" "7111063" "Attendant, kiosk"
"7111064" "Attendant, room, show" "7111064" "Attendant, room, show"
"7111065" "Attendant, stores (retail trade)" "7111065" "Attendant, stores (retail trade)"
"7111066" "Boy, programme" "7111066" "Boy, programme"
"7111067" "Clerk, office, receiving" "7111067" "Clerk, office, receiving"
"7111068" "Consultant, beauty (retail trade)" "7111068" "Consultant, beauty (retail trade)"
"7111069" "Consultant, carpet (retail trade)" "7111069" "Consultant, carpet (retail trade)"
"7111070" "Consultant, cosmetics" "7111070" "Consultant, cosmetics"
"7111071" "Consultant, food (retail trade)" "7111071" "Consultant, food (retail trade)"
"7111072" "Consultant, furniture" "7111072" "Consultant, furniture"
"7111073" "Consultant, perfumery" "7111073" "Consultant, perfumery"
"7111074" "Consultant, sales (retail trade)" "7111074" "Consultant, sales (retail trade)"
"7111075" "Coordinator, parts" "7111075" "Coordinator, parts"
"7111076" "Counsellor, beauty (retail trade)" "7111076" "Counsellor, beauty (retail trade)"
"7111077" "Counterhand (take-away food shop)" "7111077" "Counterhand (take-away food shop)"
"7111078" "Counterhand (wholesale, retail trade)" "7111078" "Counterhand (wholesale, retail trade)"
"7111079" "Counterman (retail trade)" "7111079" "Counterman (retail trade)"
"7111080" "Counterman (take-away food shop)" "7111080" "Counterman (take-away food shop)"
"7111081" "Cutter, cheese" "7111081" "Cutter, cheese"
"7111082" "Dairyman (retail trade)" "7111082" "Dairyman (retail trade)"
"7111083" "Fitter, shoe (retail trade)" "7111083" "Fitter, shoe (retail trade)"
"7111084" "Foreman (provision merchants)" "7111084" "Foreman (provision merchants)"
"7111085" "Foreman (retail trade)" "7111085" "Foreman (retail trade)"
"7111086" "Foreman, district (retail trade)" "7111086" "Foreman, district (retail trade)"
"7111087" "Foreman, shop (retail trade)" "7111087" "Foreman, shop (retail trade)"
"7111088" "Hand, bacon" "7111088" "Hand, bacon"
"7111089" "Hand, first (retail trade)" "7111089" "Hand, first (retail trade)"
"7111090" "Hand, provision" "7111090" "Hand, provision"
"7111091" "Help, part-time (retail trade)" "7111091" "Help, part-time (retail trade)"
"7111092" "Helper, part-time (retail trade)" "7111092" "Helper, part-time (retail trade)"
"7111093" "Inspector, NAAFI" "7111093" "Inspector, NAAFI"
"7111094" "Leader, section (retail trade)" "7111094" "Leader, section (retail trade)"
"7111095" "Leader, team (retail trade)" "7111095" "Leader, team (retail trade)"
"7111096" "Leader, team, operation, sales (retail trade)" "7111096" "Leader, team, operation, sales (retail trade)"
"7111097" "Newsboy (bookstall)" "7111097" "Newsboy (bookstall)"
"7111098" "Operative, kiosk (retail trade)" "7111098" "Operative, kiosk (retail trade)"
"7111099" "Operator, kiosk (retail trade)" "7111099" "Operator, kiosk (retail trade)"
"7111100" "Player, team (retail trade)" "7111100" "Player, team (retail trade)"
"7111101" "Receiver (laundry, launderette, dry cleaning)" "7111101" "Receiver (laundry, launderette, dry cleaning)"
"7111102" "Representative (motor factors)" "7111102" "Representative (motor factors)"
"7111103" "Salesman (building and contracting)" "7111103" "Salesman (building and contracting)"
"7111104" "Salesman (retail trade)" "7111104" "Salesman (retail trade)"
"7111105" "Salesman, TV" "7111105" "Salesman, TV"
"7111106" "Salesman, bread (retail trade)" "7111106" "Salesman, bread (retail trade)"
"7111107" "Salesman, butcher's" "7111107" "Salesman, butcher's"
"7111108" "Salesman, car" "7111108" "Salesman, car"
"7111109" "Salesman, counter" "7111109" "Salesman, counter"
"7111110" "Salesman, fish" "7111110" "Salesman, fish"
"7111111" "Salesman, fish and fruit" "7111111" "Salesman, fish and fruit"
"7111112" "Salesman, fish and poultry" "7111112" "Salesman, fish and poultry"
"7111113" "Salesman, fishmonger's" "7111113" "Salesman, fishmonger's"
"7111114" "Salesman, indoor" "7111114" "Salesman, indoor"
"7111115" "Salesman, market (wholesale trade)" "7111115" "Salesman, market (wholesale trade)"
"7111116" "Salesman, meat" "7111116" "Salesman, meat"
"7111117" "Salesman, milk (retail trade)" "7111117" "Salesman, milk (retail trade)"
"7111118" "Salesman, motor" "7111118" "Salesman, motor"
"7111119" "Salesman, parts (motor vehicle repair)" "7111119" "Salesman, parts (motor vehicle repair)"
"7111120" "Salesman, retail" "7111120" "Salesman, retail"
"7111121" "Salesman, shop" "7111121" "Salesman, shop"
"7111122" "Salesman, showroom" "7111122" "Salesman, showroom"
"7111123" "Salesman, television" "7111123" "Salesman, television"
"7111124" "Salesman, warehouse" "7111124" "Salesman, warehouse"
"7111125" "Seller, book (Stationery Office)" "7111125" "Seller, book (Stationery Office)"
"7111126" "Seller, fish and chips" "7111126" "Seller, fish and chips"
"7111127" "Seller, programme" "7111127" "Seller, programme"
"7111128" "Server (take-away food shop)" "7111128" "Server (take-away food shop)"
"7111129" "Shopper, personal" "7111129" "Shopper, personal"
"7111130" "Superintendent (retail trade)" "7111130" "Superintendent (retail trade)"
"7111131" "Superintendent, floor (department store)" "7111131" "Superintendent, floor (department store)"
"7111132" "Supervisor, centre, service (electricity supplier)" "7111132" "Supervisor, centre, service (electricity supplier)"
"7111133" "Supervisor, counter (wholesale, retail trade)" "7111133" "Supervisor, counter (wholesale, retail trade)"
"7111134" "Supervisor, kiosk (retail trade)" "7111134" "Supervisor, kiosk (retail trade)"
"7111135" "Supervisor, produce" "7111135" "Supervisor, produce"
"7111136" "Supervisor, retail" "7111136" "Supervisor, retail"
"7111137" "Supervisor, room, show" "7111137" "Supervisor, room, show"
"7111138" "Supervisor, sales (retail trade)" "7111138" "Supervisor, sales (retail trade)"
"7111139" "Supervisor, shop (retail trade)" "7111139" "Supervisor, shop (retail trade)"
"7111140" "Supervisor, store (retail trade)" "7111140" "Supervisor, store (retail trade)"
"7111141" "Supervisor, trade (retail trade)" "7111141" "Supervisor, trade (retail trade)"
"7111142" "Technician, parts" "7111142" "Technician, parts"
"7111143" "Walker, floor" "7111143" "Walker, floor"
"7111144" "Walker, shop" "7111144" "Walker, shop"
"7111145" "Worker, shop (fried fish)" "7111145" "Worker, shop (fried fish)"
"7111146" "Worker, shop (retail trade)" "7111146" "Worker, shop (retail trade)"
"7111147" "Worker, shop (take-away food shop)" "7111147" "Worker, shop (take-away food shop)"
"7112" "Retail cashiers and check-out operators" "7112" "Retail cashiers and check-out operators"
"7112001" "Assistant, cash and wrap" "7112001" "Assistant, cash and wrap"
"7112002" "Assistant, check-out" "7112002" "Assistant, check-out"
"7112003" "Assistant, forecourt" "7112003" "Assistant, forecourt"
"7112004" "Assistant, general (retail trade: check-out)" "7112004" "Assistant, general (retail trade: check-out)"
"7112005" "Assistant, petrol" "7112005" "Assistant, petrol"
"7112006" "Assistant, scanner (retail trade)" "7112006" "Assistant, scanner (retail trade)"
"7112007" "Assistant, scanning (retail trade)" "7112007" "Assistant, scanning (retail trade)"
"7112008" "Assistant, station, petrol" "7112008" "Assistant, station, petrol"
"7112009" "Assistant, supermarket" "7112009" "Assistant, supermarket"
"7112010" "Assistant, till" "7112010" "Assistant, till"
"7112011" "Attendant, forecourt" "7112011" "Attendant, forecourt"
"7112012" "Attendant, petrol" "7112012" "Attendant, petrol"
"7112013" "Attendant, pump (garage)" "7112013" "Attendant, pump (garage)"
"7112014" "Attendant, pump, petrol" "7112014" "Attendant, pump, petrol"
"7112015" "Attendant, station, filling" "7112015" "Attendant, station, filling"
"7112016" "Attendant, station, petrol" "7112016" "Attendant, station, petrol"
"7112017" "Attendant, station, service" "7112017" "Attendant, station, service"
"7112018" "Cashier (restaurant)" "7112018" "Cashier (restaurant)"
"7112019" "Cashier (canteen)" "7112019" "Cashier (canteen)"
"7112020" "Cashier" "7112020" "Cashier"
"7112021" "Cashier (caf?)" "7112021" "Cashier (caf?)"
"7112022" "Cashier (retail trade)" "7112022" "Cashier (retail trade)"
